NSC,SMILES,Cluster_ID,Scaffold_Cluster_ID
9329,N1CCN(CC1)CCCCCCOc1ccc(C2CCCCC2)cc1.Cl,7,2
9364,Fc1cc2c(cc1)c(c[nH]2)CC(C(=O)O)N,3,3
9408,c1c2c(c(cc(=O)o2)C)ccc1O,1,4
9609,N(=N\c1cc(C)c(cc1)/N=N/c1cc([N+](C)(C)C)ccc1)/c1c2c(ccc1O)cccc2,2,2
9616,N(=N\c1c(cc(c2cc(c(/N=N/c3c(c4c(cc(cc4cc3S(=O)(=O)O)S(=O)(=O)O)N)O)cc2)OC)cc1)OC)/c1c(c2c(cc(cc2cc1S(=O)(=O)O)S(=O)(=O)O)N)O.[Na+],2,5
9617,N(=N\c1c(cc(c2cc(c(/N=N/c3c(c4c(c(cc(c4cc3)S(=O)(=O)O)S(=O)(=O)O)N)O)cc2)OC)cc1)OC)/c1c(c2c(c(cc(c2cc1)S(=O)(=O)O)S(=O)(=O)O)N)O.[Na+],2,5
9665,O1[C@]2([C@@H]([C@]3(O[C@@H]3CC=C(C)C)C)[C@@H]([C@@H](CC2)O)OC)C1,6,6
9688,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCC(c1ccccc1)CCN(CC)CC.Cl,2,7
9768,Clc1cc(c(c(Cl)c1)O)Cc1c(ccc(Cl)c1)O,7,7
9853,[Na+].N(=N\c1c(ccc2c1cccc2)O)/c1ccc(cc1)S(=O)(=O)O,2,2
9855,[Cl-].n1c2c(cc(cc2)N)[n+](c2ccccc2)c2cc(ccc12)N,2,1
9856,C(=C\CCCCCCCC(=O)O)\CCCCCCCC,7,5
9858,C(=C1C=C(C(=N)C=C1)C)(c1cc(c(cc1)N)C)c1cc(c(cc1)N)C.Cl,7,2
9908,c1cc(ccc1S(=O)(=O)N)C,5,3
9959,c1(ccccc1)CC(C(=O)O)N,3,3
10023,O=C1C=C[C@@]2([C@H]3C(=O)C[C@@]4([C@](CC[C@H]4[C@@H]3CCC2=C1)(C(=O)CO)O)C)C,6,3
10036,Clc1cc2nccc(c2cc1)NCC(c1ccc(Cl)cc1)CCN(CC)CC,2,4
10037,Clc1cc2nccc(c2cc1)NCC(c1ccccc1)CCN(CC)CC,2,4
10428,C1COC(=O)/C/1=C\c1ccc(cc1)OC,1,5
10447,O=C1c2c(c(cc(c2C(=O)c2c1cccc2)O)O)O,1,4
10450,N(=N\c1c(ccc2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)O)/c1ccccc1.[Na+],2,2
10457,N(=N\c1c2ccccc2ccc1O)/c1c(cc(cc1)C)C,2,2
10458,N(=N\c1c2ccc(cc2cc(c1O)S(=O)(=O)O)S(=O)(=O)O)\c1c(cc(cc1)C)C.[Na+],2,6
10460,C(=C1C=CC(=N)C=C1)(c1ccc(cc1)N)c1ccc(cc1)N.Cl,7,2
10461,N(=N\c1c2ccc(cc2cc(c1O)S(=O)(=O)O)S(=O)(=O)O)/c1c(cc(c(c1)C)C)C.[Na+],2,2
10466,C(=C\1/C=CC(=N)C=C1)(/c1ccc(cc1)N)\c1cc(c(cc1)N)C.Cl,7,2
10469,N(=N\c1c(S(=O)(=O)O)cc(cc1)/N=N\c1c(S(=O)(=O)O)cccc1)/c1c2c(ccc1O)cccc2,2,7
10472,Cc1ccccc1/N=N/c1ccc(c(C)c1)/N=N/c1c2ccccc2ccc1O,2,2
10482,n1c2ccccc2c(cc1)/C=C/c1ccc(cc1)N(C)C.Cl,2,3
10483,O=C1CC[C@@]2([C@H]3[C@H](C[C@@]4([C@](CC[C@H]4[C@@H]3CCC2=C1)(C(=O)CO)O)C)O)C,6,1
10492,c1(ccc2c(c1)nccc2NCC(CCCN(CC)CC)c1ccc(cc1)Cl)Cl,2,4
10493,Clc1cc2nccc(c2cc1)NCC(c1ccc(cc1)OC)CCN(CC)CC,2,4
10517,N(c1ccc(cc1)/C=C\c1cccc[n+]1C)(C)C.[I-],2,2
10520,[I-].Clc1ccc(cc1)/C=C\c1ccc2c(cccc2)[n+]1C,2,3
10526,[I-].s1c2ccccc2[n+](c1/C=C/c1ccc(cc1)N(C)C)C,2,4
10534,[I-].c1c(cccc1)/C=C/C=C\C1=[N+](c2ccccc2C1(C)C)C,7,5
10535,c1ccc2c(c1)C(C(=[N+]2C)/C=C/c1ccc(cc1)N(C)C)(C)C.[I-],2,6
10593,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NC(CCCN(CC)CC)Cc1ccccc1.Cl,2,7
10594,n1c2c(c(c3ccc(cc13)[N+](=O)[O-])NCC(c1ccccc1)CCN(CC)CC)cc(c(c2)OC)OC.Cl,2,7
10641,Clc1cc(c(cc1)OC)C(O)CN(CCCCC)CCCCC.Cl,7,3
10660,Clc1ccc(c2ccccc12)C(O)CN(CCCCC)CCCCC.Cl,7,6
10666,Clc1ccc2c(c3cc(ccc3nc2c1)OC)Nc1cc(CN(CC)CC)c(cc1)O.Cl,2,7
10721,O=C1CC[C@@]2([C@H]3[C@H](C[C@@]4([C@](C(=O)COC(=O)CCC5CCCC5)(O)CC[C@H]4[C@@H]3CCC2=C1)C)O)C,6,1
11051,Clc1cc2ncc(c(c2cc1)NCCCCN(CCCC)CCCC)C.P(=O)(O)(O)O,2,6
11225,[Cl-].n1c2ccc(cc2[s+]c2c1cc(c(c2)N)C)N(C)C,2,2
11227,N(=N\c1c2ccccc2ccc1O)/c1ccccc1,2,2
11232,N(=N\c1c(ccc2c1cccc2)O)/c1c(cccc1)OC,2,2
11240,[Cl-].C(=C\1/C=CC(=[N+](C)C)C=C1)(/c1ccc(cc1)N(C)C)\c1ccc(c2c1cccc2)NCC,7,3
11243,N(=N\c1c(S(=O)(=O)O)cc(cc1)c1ccc(cc1)/N=N/c1c2c(cc(c1N)S(=O)(=O)O)cc(cc2)S(=O)(=O)O)/c1c2c(cc(c1N)S(=O)(=O)O)cc(cc2)S(=O)(=O)O,2,4
11420,c1(ccc(c2c1cccc2)OC)C(O)C(C)(C)CN(CCCCC)CCCCC,7,6
11470,c1cc(ccn1)/C=C/c1ccncc1,7,5
11515,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCC(O)CN(CC)CC.Cl,2,5
11607,n1c(c2c(nc1)[nH]nc2)NCCC(C)C.Cl,2,7
11624,n1c(Sc2ccc(Cl)cc2)c2c(nc1)n(nc2)C,4,6
11668,c1(nc(c2c(n1)n(nc2)C)Nc1cccc(c1)Cl)Nc1cccc(c1)Cl,2,7
11713,N(=N\c1c(c(cc2c1cccc2)C(=O)O)O)/c1ccccc1,2,2
11841,o1c2ccc(cc2c(cc1=O)C)OC,1,4
11863,O1c2ccc(cc2OC1)/C=C/C(=O)c1ccccc1,7,1
11868,c1c(ccc(c1OC)OC)/C=C/C(=O)c1ccccc1,7,4
11883,c1cc2c(cc1)c(cc1c2CCCC1)C(O)CN(CCCCC)CCCCC.Cl,7,2
11966,c1c(c(c(cc1C)C)O)CNCCCNCc1cc(cc(c1O)C)C.Cl,7,3
11981,c1(c(c(c(c2c1c(c(c1c(c3c(c(c(c(c3cc1C)C(C)C)O)O)/C=N/CCCCC)O)c(c2)C)O)C(C)C)O)O)/C=N/CCCCC,1,4
12113,c1c(ccc(c1OC)OC)/C=C(\[N+](=O)[O-])/C,7,3
12129,N(=N\c1ccc(cc1)S(=O)(=O)c1ccc(cc1)/N=N\c1c(ccc2cccc(c12)S(=O)(=O)O)O)/c1c2c(cccc2S(=O)(=O)O)ccc1O,2,5
12155,n1c2ccc(cc2c(cc1C)N)NC(=O)Nc1ccc2nc(cc(c2c1)N)C.Cl,2,6
12161,O=c1nc(c2ncn(c2[nH]1)C1OC(C(C1O)O)CO)N,4,7
12174,O=C1C=CC2(C3(F)C(CC4(C(CCC4C3CCC2=C1)(C(=O)CO)O)C)O)C,6,1
12286,c1c2Cc3ccccc3c2ccc1NC,1,2
12288,c1c2Cc3ccccc3c2ccc1NCC,1,2
12363,N(=[N+](\[O-])/c1cc2c(cc1)c1c(C2=O)cccc1)/c1cc2c(cc1)c1ccccc1C2=O,1,3
12368,O=C1c2cc(ccc2c2c1cccc2)N,1,4
12405,c1ccc2c(c1)ccc(c2/N=N/c1ccc2c3ccccc3C(=O)c2c1)O,2,5
12453,[Na+].N(=N\c1c2ccccc2ccc1O)/c1c(ccc(c1)S(=O)(=O)O)O,2,2
12454,n1c2c(ccc(c2)N(C)C)cc2cc(c(cc12)N)C.Cl,2,5
12455,N(=N\c1c2ccc(cc2cc(c1O)S(=O)(=O)O)S(=O)(=O)O)\c1c(cccc1)C(=O)O.[Na+],2,6
12516,Clc1ccc2c(c3cc(ccc3nc2c1)OC)Nc1cc(CN2CCCC2)c(cc1)O.Cl,2,6
12549,c1cc(ccc1Cl)C(=O)CSSCC(=O)c1ccc(cc1)Cl,7,7
12600,O=C1C=C[C@@]2([C@@]3(F)[C@H](C[C@@]4([C@](CC[C@H]4[C@@H]3CCC2=C1)(C(=O)COC(=O)C)O)C)O)C,6,1
12602,O=C1[C@@H](C[C@@]2([C@H]3[C@H](C[C@@]4([C@](CC[C@H]4[C@@H]3CCC2=C1)(C(=O)COC(=O)C)O)C)O)C)C,6,1
12612,O=[As](c1ccc(cc1)[As](=O)(O)O)(O)O,5,3
12650,O=[As](c1ccc(/N=N/c2ccc(cc2)O)cc1)(O)O,2,3
12666,O=[As](c1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)N)(O)O,5,2
12865,c1cc(cc2c1nccc2C(C1N2CC(C(C1)CC2)C=C)O)OC.Br,2,4
13001,Clc1ccc2c(c3cc(c(cc3nc2c1)OC)OC)NC(C)CCCN(CC)CC.Cl,2,5
13003,c1c(c(cc2c1c(c1ccc(cc1n2)[N+](=O)[O-])NCC(O)CN(CC)CC)OC)OC.Cl,2,5
13006,n1c2c(c(c3ccccc13)NCCNCCO)cc(cc2)OC.Cl,2,5
13028,Clc1cc2nccc(c2cc1)NCCNC1CCCCC1,2,3
13051,Clc1ccc2c(c3cc(ccc3nc2c1)OC)Nc1c(cc(c(c1)C(C)C)O)C,2,7
13052,Clc1cc2nccc(c2cc1)NCC(c1ccc(Cl)cc1)CCCN(CC)CC,2,4
13055,Clc1cc2nccc(c2cc1)Nc1ccc(c(c1)CN(CCCC)CCCC)O.Cl,2,4
13097,Clc1ccc2nc(c3ccccc3)cc(c2c1)C(C1NCCCC1)O.Cl,2,5
13110,C1c2c3c(C1)cccc3c(cc2)C(O)CN(CCCCCC)CCCCCC,7,6
13119,c1(c[nH]c2c1cccc2)CC(N)C(=O)O,3,3
13235,Brc1cc(c(cc1)O)C(=O)C(=O)c1c(ccc(Br)c1)O,5,7
13239,Clc1cc2ncc(c(c2cc1)NCCCC)CN,2,6
13248,Clc1cc2nccc(c2cc1)NC1CCN(CC1)CC,2,1
13307,Brc1ccc2c(c1)c1ccccc1cc2C(O)CN(CCCCCCC)CCCCCCC.Cl,7,4
13316,n1c(c2ccc(Cl)cc2)cc(C(C2CCCCN2)O)c2c1cccc2,2,5
13318,n1c2ccccc2c(cc1c1ccccc1)CNCCCN(CC)CC.S(=O)(=O)(O)O,2,2
13378,N1CCCCC1CCNc1c2ncccc2cc(c1)OC.Cl,2,3
13397,O=C1C=C[C@@]2([C@@]3(F)[C@H](C[C@@]4([C@]([C@@H](C[C@H]4[C@@H]3CCC2=C1)O)(C(=O)CO)O)C)O)C,6,1
13459,n1c2c(cc(cc2ccc1)OC)NCCCCCCN(CC)CC.P(=O)(O)(O)O,2,6
13465,n1c2ccc(cc2c(cc1)Nc1ccc(c(c1)CN(CC)CC)O)OC.Cl,2,4
13468,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NC(=O)CSc1ccc(Cl)cc1,2,4
13477,Clc1cc2ncc(c(c2cc1)NC(C)CCCN(CC)CC)c1ccccc1.I,2,5
13479,n1c2cc(ccc2c(cc1)NC(C)CCCN(CC)CC)Oc1ccccc1.C(=O)(O)CC(O)(C(=O)O)CC(=O)O,2,6
13480,n1c(c2ccccc2)cc(c2c1c1ccccc1cc2)C(C1NCCCC1)O.Cl,2,7
13483,Clc1cc2nccc(c2cc1SCc1ccccc1)NC(C)CCCN(CC)CC,2,1
13489,O(c1ccc(c2ccccc12)C(O)CN(CCCC)CCCC)Cc1ccccc1.Cl,7,2
13598,Clc1cc2nccc(c2cc1)NCCS(=O)(=O)CCN(CC)CC.P(=O)(O)(O)O,2,6
13611,n1c2c(c(c3cc(ccc13)OC)NCCCN(C)C)CCCC2.Cl,2,3
13612,n1c2c(cccc2cc(Br)c1)NCCCCCCN(CC)CC.I,2,6
13616,C(C(NC1CCCCC1)CC)Nc1c2c(cc(c1)OC)cccn2,2,4
13630,Clc1cc2ncc(c(c2cc1)NCC(c1ccc(Cl)c(Cl)c1)CCN(CC)CC)C,2,4
13705,O=[As](c1ccc(/N=N/c2ccc(cc2)[As](=O)(O)O)cc1)(O)O.[Na+],5,3
13713,n1c2c(cc(c(c2ccc1)OC)OC)NCCCN(CC)CC.I,2,6
13720,n1c2ccc(cc2c(cc1C)NCc1ccc(cc1)N(CC)CC)OC,2,5
13724,Clc1cc2ncc(c(c2cc1)NCC(c1ccc(Cl)cc1)CCN(CC)CC)C,2,4
13728,N1(c2nc3ccc(cc3c(c2)C)Cc2ccc3nc(N4CCCCC4)cc(c3c2)C)CCCCC1.Cl,2,6
13768,O=[As](c1ccc(cc1)CS(=O)(=O)N)(O)O,5,3
13770,[Na+].O=[As](c1ccc(cc1)C(C(=O)O)O)(O)O,5,3
13773,O=[As](c1ccc(cc1)NC(=O)C)(O)O,5,3
13776,O=[Sb](c1ccc(cc1)S(=O)(=O)NCCO)(O)O,5,3
13973,c1c(c(cc2c1cc1cc(c(cc1n2)N)C)N)C.Cl,2,5
13981,O=C1c2c(c(ccc2)N)C(=O)c2cccc(c12)NC(=O)c1ccccc1,1,7
13986,c1cc(N(C)C)ccc1/N=N\c1ccc2c(c1)[n+](c1ccccc1)c1c(n2)ccc(c1)N(CC)CC.[Cl-],2,1
13998,c1c(ccc(c1)[N+](=O)[O-])C(=O)NO,5,3
14006,c1(ccccc1OC)/C=C(\[N+](=O)[O-])/C,7,3
14009,c1c(ccc(c1OC)/C=C(/CC)\[N+](=O)[O-])OC,7,3
14050,c1c2c(c(ccn2)NC(C)CCCN(CC)CC)ccc1Cl.P(=O)(O)(O)O,2,6
14071,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCCNCCO.Cl,2,5
14072,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCNCC(O)C.Cl,2,5
14073,n1c2c(c(c3ccccc13)NCCNCC(O)C)cc(cc2)OC.Cl,2,5
14078,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCCSCCN(CC)CC.Cl,2,5
14079,n1c2c(c(c3ccc(cc13)C)NC(C)CCCN(CC)CC)cc(cc2)OC.Cl,2,5
14143,O=c1n(c(=O)c2[nH]c(nc2n1C)CCNC(=O)c1ccccc1)C,1,2
14179,n1c2ccccc2c(nc1)NC(C)(CO)CO,2,3
14195,Clc1cc(c(cc1)O)C(c1c(ccc(Cl)c1)O)C,7,7
14224,n1c(c2cccc(Cl)c2)cc(c2c1cccc2)C(C1NCCCC1)O,2,5
14229,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NC(C)CCCN(CC)CC.Cl,2,5
14241,N1(c2ccc(cc2CCC1)OC)CCCCCCCCCCN(CC)CCCC,2,4
14380,O=c1n(c(=O)c2n(c(nc2n1C)OCC(C)C)C)C,1,5
14657,n1c2c(c(c3ccc(cc13)[N+](=O)[O-])NCCCNCC(C)(C)O)cc(c(c2)OC)OC.[Cl-],2,5
14658,n1c2c(c(c3ccccc13)N)cccc2C.Cl,2,5
14659,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCNCC(O)CO.Cl,2,5
14864,c1c[n+](ccc1)CCCCCCCCCCCCCCCC.[Cl-],7,6
14975,O1[C@]2([C@@H]([C@@H]([C@H]3[C@]4([C@H]2[C@]2([C@@H]([C@H](C=C([C@@H]2C[C@H]4OC(=O)[C@@H]3OC(=O)[C@](O)(C)CC)C)O)O)C)C1)C)O)O,6,7
14977,n1c2c(c(c3ccccc13)NN)cccc2.Cl,2,5
15010,n1cc(ccc1)C(=O)O.Cl,7,1
15078,c1ccccc1/C=C(/CCCCC)\C=C(C#N)C#N,7,3
15300,c1c(ccc2c1c(c1ccc(cc1n2)Cl)N)OC,2,5
15309,C1(=O)C(=CC(=O)C(=C1)C)C,1,1
15351,O=Cc1cc(c(cc1)O)OC,7,3
15360,c1cc(ccc1[N+](=O)[O-])NC(=O)c1ccc(cc1)[N+](=O)[O-],5,2
15367,c1(ccc(c2c1C(=O)c1ccccc1C2=O)O)O,1,4
15783,n1c2ccccc2c(cc1)/C=C/c1c(cccc1)OC,2,3
15784,n1c2ccccc2c(cc1)/C=C/c1ccccc1Cl,2,3
15791,O=c1c2c(ccc(c2sc2c1cccc2)C)NCCN1CCCCC1.Cl,2,2
15794,Clc1ccc2c(=O)c3c(ccc(c3sc2c1)C)NCCN(CC)CC(O)C.Cl,2,3
